activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration
other personal tasks,Personal Tasks,1558455166999,Tue May 21 21:42:46 GMT+05:30 2019,1558456389291,Tue May 21 22:03:09 GMT+05:30 2019,1222292,20 min
internet time waste,Wasted Time,1558456389291,Tue May 21 22:03:09 GMT+05:30 2019,1558457546346,Tue May 21 22:22:26 GMT+05:30 2019,1157055,19 min
wasting time ,Wasted Time,1558457546346,Tue May 21 22:22:26 GMT+05:30 2019,1558459478962,Tue May 21 22:54:38 GMT+05:30 2019,1932616,32 min
Break,Health,1558459478962,Tue May 21 22:54:38 GMT+05:30 2019,1558461878962,Tue May 21 23:34:38 GMT+05:30 2019,2400000,40 min
Sleep,Rest,1558461878962,Tue May 21 23:34:38 GMT+05:30 2019,1558488863277,Wed May 22 07:04:23 GMT+05:30 2019,26984315,7 h 29 min
morning routine,Chores,1558488863277,Wed May 22 07:04:23 GMT+05:30 2019,1558489054855,Wed May 22 07:07:34 GMT+05:30 2019,191578,3 min
qns,studying,1558489054855,Wed May 22 07:07:34 GMT+05:30 2019,1558491758888,Wed May 22 07:52:38 GMT+05:30 2019,2704033,45 min
internet time waste,Wasted Time,1558491758888,Wed May 22 07:52:38 GMT+05:30 2019,1558497433073,Wed May 22 09:27:13 GMT+05:30 2019,5674185,1 h 34 min
qns,studying,1558497433073,Wed May 22 09:27:13 GMT+05:30 2019,1558501385467,Wed May 22 10:33:05 GMT+05:30 2019,3952394,1 h 5 min
qns,studying,1558501385467,Wed May 22 10:33:05 GMT+05:30 2019,1558504925467,Wed May 22 11:32:05 GMT+05:30 2019,3540000,59 min
sleeping in the day,Rest,1558504925467,Wed May 22 11:32:05 GMT+05:30 2019,1558506725467,Wed May 22 12:02:05 GMT+05:30 2019,1800000,30 min
wasting time ,Wasted Time,1558506725467,Wed May 22 12:02:05 GMT+05:30 2019,1558511345467,Wed May 22 13:19:05 GMT+05:30 2019,4620000,1 h 17 min
Eating,Eating,1558511345467,Wed May 22 13:19:05 GMT+05:30 2019,1558513625467,Wed May 22 13:57:05 GMT+05:30 2019,2280000,38 min
internet time waste,Wasted Time,1558513625467,Wed May 22 13:57:05 GMT+05:30 2019,1558518366835,Wed May 22 15:16:06 GMT+05:30 2019,4741368,1 h 19 min
internet time waste,Wasted Time,1558518366835,Wed May 22 15:16:06 GMT+05:30 2019,1558523192480,Wed May 22 16:36:32 GMT+05:30 2019,4825645,1 h 20 min
sleeping in the day,Rest,1558523192480,Wed May 22 16:36:32 GMT+05:30 2019,1558527032480,Wed May 22 17:40:32 GMT+05:30 2019,3840000,1 h 4 min
internet time waste,Wasted Time,1558527032480,Wed May 22 17:40:32 GMT+05:30 2019,1558535360107,Wed May 22 19:59:20 GMT+05:30 2019,8327627,2 h 18 min
qns,studying,1558535360107,Wed May 22 19:59:20 GMT+05:30 2019,1558536840608,Wed May 22 20:24:00 GMT+05:30 2019,1480501,24 min
Eating,Eating,1558536840608,Wed May 22 20:24:00 GMT+05:30 2019,1558538895076,Wed May 22 20:58:15 GMT+05:30 2019,2054468,34 min
qns,studying,1558538895076,Wed May 22 20:58:15 GMT+05:30 2019,1558546748390,Wed May 22 23:09:08 GMT+05:30 2019,7853314,2 h 10 min
Sleep,Rest,1558546748390,Wed May 22 23:09:08 GMT+05:30 2019,1558576566999,Thu May 23 07:26:06 GMT+05:30 2019,29818609,8 h 16 min
qns,studying,1558576566999,Thu May 23 07:26:06 GMT+05:30 2019,1558578666999,Thu May 23 08:01:06 GMT+05:30 2019,2100000,35 min
reading,reward,1558578666999,Thu May 23 08:01:06 GMT+05:30 2019,1558580346999,Thu May 23 08:29:06 GMT+05:30 2019,1680000,28 min
sleeping in the day,Rest,1558580346999,Thu May 23 08:29:06 GMT+05:30 2019,1558584349353,Thu May 23 09:35:49 GMT+05:30 2019,4002354,1 h 6 min
qns,studying,1558584349353,Thu May 23 09:35:49 GMT+05:30 2019,1558589208544,Thu May 23 10:56:48 GMT+05:30 2019,4859191,1 h 20 min
qns,studying,1558589208544,Thu May 23 10:56:48 GMT+05:30 2019,1558593923840,Thu May 23 12:15:23 GMT+05:30 2019,4715296,1 h 18 min
wasting time ,Wasted Time,1558593923840,Thu May 23 12:15:23 GMT+05:30 2019,1558595663840,Thu May 23 12:44:23 GMT+05:30 2019,1740000,29 min
Eating,Eating,1558595663840,Thu May 23 12:44:23 GMT+05:30 2019,1558598423840,Thu May 23 13:30:23 GMT+05:30 2019,2760000,46 min
Break,Health,1558598423840,Thu May 23 13:30:23 GMT+05:30 2019,1558598927791,Thu May 23 13:38:47 GMT+05:30 2019,503951,8 min
qns,studying,1558598927791,Thu May 23 13:38:47 GMT+05:30 2019,1558600547791,Thu May 23 14:05:47 GMT+05:30 2019,1620000,27 min
wasting time ,Wasted Time,1558600547791,Thu May 23 14:05:47 GMT+05:30 2019,1558602099698,Thu May 23 14:31:39 GMT+05:30 2019,1551907,25 min
qns,studying,1558602099698,Thu May 23 14:31:39 GMT+05:30 2019,1558604052849,Thu May 23 15:04:12 GMT+05:30 2019,1953151,32 min
Break,Health,1558604052849,Thu May 23 15:04:12 GMT+05:30 2019,1558606410611,Thu May 23 15:43:30 GMT+05:30 2019,2357762,39 min
wasting time ,Wasted Time,1558606410611,Thu May 23 15:43:30 GMT+05:30 2019,1558612135982,Thu May 23 17:18:55 GMT+05:30 2019,5725371,1 h 35 min
qns,studying,1558612135982,Thu May 23 17:18:55 GMT+05:30 2019,1558614101321,Thu May 23 17:51:41 GMT+05:30 2019,1965339,32 min
Break,Health,1558614101321,Thu May 23 17:51:41 GMT+05:30 2019,1558615696875,Thu May 23 18:18:16 GMT+05:30 2019,1595554,26 min
qns,studying,1558615696875,Thu May 23 18:18:16 GMT+05:30 2019,1558618096875,Thu May 23 18:58:16 GMT+05:30 2019,2400000,40 min
wasting time ,Wasted Time,1558618096875,Thu May 23 18:58:16 GMT+05:30 2019,1558619043533,Thu May 23 19:14:03 GMT+05:30 2019,946658,15 min
internet time waste,Wasted Time,1558619043533,Thu May 23 19:14:03 GMT+05:30 2019,1558621757972,Thu May 23 19:59:17 GMT+05:30 2019,2714439,45 min
Eating,Eating,1558621757972,Thu May 23 19:59:17 GMT+05:30 2019,1558624097972,Thu May 23 20:38:17 GMT+05:30 2019,2340000,39 min
other personal tasks,Personal Tasks,1558624097972,Thu May 23 20:38:17 GMT+05:30 2019,1558624804454,Thu May 23 20:50:04 GMT+05:30 2019,706482,11 min
wasting time but I'm sick..,Wasted Time,1558624804454,Thu May 23 20:50:04 GMT+05:30 2019,1558628769709,Thu May 23 21:56:09 GMT+05:30 2019,3965255,1 h 6 min
memorizing,studying,1558628769709,Thu May 23 21:56:09 GMT+05:30 2019,1558631529709,Thu May 23 22:42:09 GMT+05:30 2019,2760000,46 min
internet time waste,Wasted Time,1558631529709,Thu May 23 22:42:09 GMT+05:30 2019,1558636683973,Fri May 24 00:08:03 GMT+05:30 2019,5154264,1 h 25 min
qns,studying,1558636683973,Fri May 24 00:08:03 GMT+05:30 2019,1558637092920,Fri May 24 00:14:52 GMT+05:30 2019,408947,6 min
internet time waste,Wasted Time,1558637092920,Fri May 24 00:14:52 GMT+05:30 2019,1558640260309,Fri May 24 01:07:40 GMT+05:30 2019,3167389,52 min
Sleep,Rest,1558640260309,Fri May 24 01:07:40 GMT+05:30 2019,1558663545944,Fri May 24 07:35:45 GMT+05:30 2019,23285635,6 h 28 min
morning routine,Chores,1558663545944,Fri May 24 07:35:45 GMT+05:30 2019,1558663785944,Fri May 24 07:39:45 GMT+05:30 2019,240000,4 min
tatti kari,Chores,1558663785944,Fri May 24 07:39:45 GMT+05:30 2019,1558664764885,Fri May 24 07:56:04 GMT+05:30 2019,978941,16 min
Eating,Eating,1558664764885,Fri May 24 07:56:04 GMT+05:30 2019,1558666771192,Fri May 24 08:29:31 GMT+05:30 2019,2006307,33 min
internet time waste,Wasted Time,1558666771192,Fri May 24 08:29:31 GMT+05:30 2019,1558668451192,Fri May 24 08:57:31 GMT+05:30 2019,1680000,28 min
memorizing,studying,1558668451192,Fri May 24 08:57:31 GMT+05:30 2019,1558669361423,Fri May 24 09:12:41 GMT+05:30 2019,910231,15 min
